Num,Ligand_SMILES,Product_SMILES,Temp (K),G,ee (%),L_Num,L_DFT,L_Type,P_Num,R_Type,Data_Type,Doi,Ligand_Compound_Name,Product_Compound_Name,Unnamed: 15
2179,CC([C@@H]1N=C(C(CC2=CC=CC=C2)(C3=N[C@@H](C(C)C)CO3)CC4=CC=CC=C4)OC1)C,O=C1CCCN1[C@H](CCCCC)CC2=CC=CC=C2,273.15,0.1382,-13,L37,Ligand_67,Box,P_46,NiH,HTE,10.1038/s41467-021-22983-7,"(4S,4'S)-2,2'-(1,3-diphenylpropane-2,2-diyl)bis(4-isopropyl-4,5-dihydrooxazole)",(R)-1-(1-phenylheptan-2-yl)pyrrolidin-2-one,
4741,CC(C)[C@H]1CN(C(C2=N[C@@H](C(C)C)CN2C3=CC(C(C)(C)C)=CC=C3)=N1)C4=CC=CC(C(C)(C)C)=C4,C[C@@H](c1ccccc1)c1ccc(C(F)(F)F)cc1,298.15,1.6849,-89,L259,Ligand_273,Biim,P_1888,Photoredox,literature,10.1038/s41467-019-11392-6,"(4S,4'S)-1,1'-bis(3-(tert-butyl)phenyl)-4,4'-diisopropyl-4,4',5,5'-tetrahydro-1H,1'H-2,2'-biimidazole",(S)-1-(1-phenylethyl)-4-(trifluoromethyl)benzene,
247,[H][C@@]12N=C(C3=NC=CC=C3)O[C@]1([H])CC4=C2C=CC=C4,FC(F)(F)C(C=C1)=CC=C1[C@@H](NC(C2=CC=CC=C2)=O)CC,303.15,0.483,-38,L4,Ligand_355,Pyox,P_9,NiH,HTE,10.1002/anie.202011342,"(3aS,8aR)-2-(pyridin-2-yl)-3a,8a-dihydro-8H-indeno[1,2-d]oxazole",(S)-N-(1-(4-(trifluoromethyl)phenyl)propyl)benzamide,
1595,C1(C2=N[C@@H](C3=CC=CC=C3)CO2)=NC4=CC=CC=C4C=C1,O=C(C(CCCC1CCCCC1)C)NC2=CC=CC=C2,263.15,0.6279,-48,L12,Ligand_361,Pyox,P_356,NiH,HTE,10.1002/anie.202011339,"(S)-4-phenyl-2-(quinolin-2-yl)-4,5-dihydrooxazole",5-cyclohexyl-2-methyl-N-phenylpentanamide,
1759,CC(C1=CC(C(C)(C)C)=CC(CC(C2=N[C@]3([H])[C@](CC4=C3C=CC=C4)([H])O2)(C5=N[C@]6([H])[C@](CC7=C6C=CC=C7)([H])O5)CC8=CC(C(C)(C)C)=CC(C(C)(C)C)=C8)=C1)(C)C,O=C(CCC1)N1[C@H](C)CCCN2C3=C(C4=C2C=CC=C4)C=CC=C3,273.15,0.3767,-33,L43,Ligand_74,Box,P_38,NiH,HTE,10.1038/s41467-021-22983-7,"(3aS,3a'S,8aR,8a'R)-2,2'-(1,3-bis(3,5-di-tert-butylphenyl)propane-2,2-diyl)bis(3a,8a-dihydro-8H-indeno[1,2-d]oxazole)",(R)-1-(5-(9H-carbazol-9-yl)pentan-2-yl)pyrrolidin-2-one,
6404,C1(C2(CCCC2)C3=N[C@H](C4=CC=CC=C4)[C@H](C5=CC=CC=C5)O3)=N[C@H](C6=CC=CC=C6)[C@H](C7=CC=CC=C7)O1,CC[C@H](OC(C1=CC=CC=C1)=O)CCC2=CC=CC=C2,298.15,0.5596,-44,L471,Ligand_156,Box,pplus_556,C(sp3)-C(sp3),literature,10.1021/jacs.2c04358,"(4R,4'R,5S,5'S)-2,2'-(cyclopentane-1,1-diyl)bis(4,5-diphenyl-4,5-dihydrooxazole)",(S)-1-phenylpentan-3-yl benzoate,
4424,COC[C@@H]1N=C(C2=N[C@@H](COC)[C@H](C3=CC=CC=C3)O2)O[C@H]1C1=CC=CC=C1,CC(=O)C1=CC=C([C@H](CNS(=O)(=O)C2=CC=C(C)C=C2)C2=CC=CC=C2)C=C1,298.15,0.8984,-64,L96,Ligand_12,Biox,P_357,RCC,literature,10.1021/jacs.7b03448,"(4S,4'S,5S,5'S)-4,4'-bis(methoxymethyl)-5,5'-diphenyl-4,4',5,5'-tetrahydro-2,2'-bioxazole",(R)-N-(2-(4-acetylphenyl)-2-phenylethyl)-4-methylbenzenesulfonamide,
924,CC([C@@H]1N=C(C2(C3=N[C@@H](C(C)(C)C)CO3)CCCC2)OC1)(C)C,CC[C@H](C1CCCCC1)NC(OCC2=CC=CC=C2)=O,303.15,0.0826,-7,L18,Ligand_57,Box,P_68,NiH,HTE,10.1021/jacs.0c11630,"(4S,4'S)-2,2'-(cyclopentane-1,1-diyl)bis(4-(tert-butyl)-4,5-dihydrooxazole)",benzyl (R)-(1-cyclohexylpropyl)carbamate,
3998,C1(C2=N[C@@H](CC3=CC=CC=C3)CO2)=NC(C4=N[C@@H](CC5=CC=CC=C5)CO4)=CC=C1,O1C(OCC1)CC[C@H](/C=C/[Si](C1=CC=CC=C1)(C)C)C,298.15,1.1263,-74,L32,Ligand_328,Pybox,P_747,C(sp3)-C(sp3),literature,10.1002/anie.202102233,"2,6-bis((S)-4-benzyl-4,5-dihydrooxazol-2-yl)pyridine","(R,E)-(5-(1,3-dioxolan-2-yl)-3-methylpent-1-en-1-yl)dimethyl(phenyl)silane",
4851,CC(C)(C)C1=CC=C([C@H]2COC(/C(C#N)=C3\N[C@@H](C4=CC=C(C(C)(C)C)C=C4)CO3)=N2)C=C1,C(C)(C)(C)OC(N[C@@H](CC(C)C)C=1C=C2COC(C2=CC1)=O)=O,298.15,1.6849,-89,L294,Ligand_143,Box,P_2119,Photoredox,literature,10.1021/jacs.5b13211,"(E)-2-((S)-4-(4-(tert-butyl)phenyl)-4,5-dihydrooxazol-2-yl)-2-((S)-4-(4-(tert-butyl)phenyl)oxazolidin-2-ylidene)acetonitrile","tert-butyl (S)-(3-methyl-1-(1-oxo-1,3-dihydroisobenzofuran-5-yl)butyl)carbamate",
